id,FIPS,POPEST2021
1,1000,5039877
2,2000,732673
3,4000,7276316
4,5000,3025891
5,6000,39237836
6,8000,5812069
7,9000,3605597
8,10000,1003384
9,11000,670050
10,12000,21781128
11,13000,10799566
12,15000,1441553
13,16000,1900923
14,17000,12671469
15,18000,6805985
16,19000,3193079
17,20000,2934582
18,21000,4509394
19,22000,4624047
20,23000,1372247
21,24000,6165129
22,25000,6984723
23,26000,10050811
24,27000,5707390
25,28000,2949965
26,29000,6168187
27,30000,1104271
28,31000,1963692
29,32000,3143991
30,33000,1388992
31,34000,9267130
32,35000,2115877
33,36000,19835913
34,37000,10551162
35,38000,774948
36,39000,11780017
37,40000,3986639
38,41000,4246155
39,42000,12964056
40,44000,1095610
41,45000,5190705
42,46000,895376
43,47000,6975218
44,48000,29527941
45,49000,3337975
46,50000,645570
47,51000,8642274
48,53000,7738692
49,54000,1782959
50,55000,5895908
51,56000,578803
52,72000,3263584
